"benchmark","benchmark id","expected","slsat","sleek"
"UDB_sat/succ-rec12.defs.smt2","945566","sat","starexec-unknown","sat"
"UDB_sat/abduced11.defs.smt2","945581","sat","sat","sat"
"UDB_sat/abduced05.defs.smt2","945621","sat","sat","sat"
"UDB_sat/succ-circuit08.defs.smt2","945624","sat","starexec-unknown","sat"
"UDB_sat/succ-rec15.defs.smt2","945605","sat","starexec-unknown","sat"
"UDB_sat/abduced02.defs.smt2","945570","sat","sat","sat"
"UDB_sat/succ-circuit19.defs.smt2","945577","sat","starexec-unknown","sat"
"UDB_sat/abduced15.defs.smt2","945580","sat","sat","sat"
"UDB_sat/succ-circuit18.defs.smt2","945614","sat","starexec-unknown","sat"
"UDB_sat/abduced14.defs.smt2","945571","sat","sat","sat"
"UDB_sat/succ-circuit13.defs.smt2","945573","sat","starexec-unknown","sat"
"UDB_sat/succ-circuit07.defs.smt2","945593","sat","starexec-unknown","sat"
"UDB_sat/succ-circuit06.defs.smt2","945596","sat","sat","sat"
"UDB_sat/abduced18.defs.smt2","945578","sat","sat","sat"
"UDB_sat/abduced04.defs.smt2","945568","sat","sat","sat"
"UDB_sat/succ-rec14.defs.smt2","945610","sat","starexec-unknown","sat"
"UDB_sat/succ-rec11.defs.smt2","945575","sat","starexec-unknown","sat"
"UDB_sat/succ-rec03.defs.smt2","945591","sat","sat","sat"
"UDB_sat/succ-circuit14.defs.smt2","945584","sat","starexec-unknown","sat"
"UDB_sat/succ-circuit11.defs.smt2","945616","sat","starexec-unknown","sat"
"UDB_sat/abduced09.defs.smt2","945617","sat","sat","sat"
"UDB_sat/succ-circuit05.defs.smt2","945607","sat","sat","sat"
"UDB_sat/succ-circuit17.defs.smt2","945598","sat","starexec-unknown","sat"
"UDB_sat/succ-circuit09.defs.smt2","945583","sat","starexec-unknown","sat"
"UDB_sat/succ-rec08.defs.smt2","945619","sat","sat","sat"
"UDB_sat/succ-circuit01.defs.smt2","945582","sat","sat","sat"
"UDB_sat/inconsistent-ls-of-ls.defs.smt2","945604","unsat","unsat","unsat"
"UDB_sat/succ-circuit03.defs.smt2","945585","sat","sat","sat"
"UDB_sat/abduced17.defs.smt2","945569","sat","sat","sat"
"UDB_sat/abduced16.defs.smt2","945611","sat","sat","sat"
"UDB_sat/abduced00.defs.smt2","945618","sat","sat","sat"
"UDB_sat/succ-rec06.defs.smt2","945597","sat","sat","sat"
"UDB_sat/succ-rec07.defs.smt2","945592","sat","sat","sat"
"UDB_sat/succ-circuit16.defs.smt2","945594","sat","starexec-unknown","sat"
"UDB_sat/abduced03.defs.smt2","945599","sat","sat","sat"
"UDB_sat/succ-circuit15.defs.smt2","945620","sat","starexec-unknown","sat"
"UDB_sat/succ-rec05.defs.smt2","945612","sat","sat","sat"
"UDB_sat/succ-rec10.defs.smt2","945615","sat","sat","sat"
"UDB_sat/succ-rec18.defs.smt2","945609","sat","starexec-unknown","sat"
"UDB_sat/succ-rec04.defs.smt2","945586","sat","sat","sat"
"UDB_sat/succ-rec19.defs.smt2","945588","sat","starexec-unknown","sat"
"UDB_sat/succ-rec16.defs.smt2","945590","sat","starexec-unknown","sat"
"UDB_sat/succ-circuit04.defs.smt2","945603","sat","sat","sat"
"UDB_sat/succ-circuit20.defs.smt2","945606","sat","starexec-unknown","sat"
"UDB_sat/abduced12.defs.smt2","945626","sat","sat","sat"
"UDB_sat/succ-rec17.defs.smt2","945579","sat","starexec-unknown","sat"
"UDB_sat/succ-circuit12.defs.smt2","945574","sat","starexec-unknown","sat"
"UDB_sat/succ-rec09.defs.smt2","945567","sat","sat","sat"
"UDB_sat/succ-rec20.defs.smt2","945623","sat","starexec-unknown","sat"
"UDB_sat/succ-circuit10.defs.smt2","945602","sat","starexec-unknown","sat"
"UDB_sat/succ-circuit02.defs.smt2","945625","sat","sat","sat"
"UDB_sat/abduced13.defs.smt2","945608","sat","sat","sat"
"UDB_sat/succ-rec02.defs.smt2","945601","sat","sat","sat"
"UDB_sat/abduced08.defs.smt2","945622","sat","sat","sat"
"UDB_sat/abduced01.defs.smt2","945600","sat","sat","sat"
"UDB_sat/abduced07.defs.smt2","945587","sat","sat","sat"
"UDB_sat/succ-rec01.defs.smt2","945613","sat","sat","sat"
"UDB_sat/succ-rec13.defs.smt2","945576","sat","starexec-unknown","sat"
"UDB_sat/abduced06.defs.smt2","945595","sat","sat","sat"
"UDB_sat/abduced10.defs.smt2","945572","sat","sat","sat"
"UDB_sat/abduced19.defs.smt2","945589","sat","sat","sat"
